date	seq	http	valid_pdf	bytes	sha256	text_head
1912-01-19	5	200	yes	698342	d7419216d8a39ecfdd726302590ab365f2d7074beac327083c3b84a1c48ddce6	 OREGON CITY COURIER, FRIDAY, JAN. 19, 1912 5 agenesias bes iBmeBaiimvMMmmwv. miasma Train Hits Snow, Killing Laborer. The Dalles. As the result of a ? - VICTOR or EDISON, WffiC worktrain on the Deschutes railroad hittin
1912-01-19	6	200	yes	751588	53b2c8b4c8b03036fed8a8cc04f18a895dc6fc980ecbc8c052ab7913b2a61300	 6 OREGON CITY COURIER, FRIDAY, JAN. 19, 1912 Notice of Final Settlement, NEWS FROM OUR FRENCH AND GERMAN COLORS PETE BROWNING'S BATS. VAGARIES CF THE TIDE. PROFESSIONAL. Notice 1b hereby given that the un- NATIONAL CAPI
1912-01-19	7	200	yes	654740	fd88d8623b8203ba49ece2f2c31faf0a8f826569543b18b69d1ce02d1054f444	 OREGON CITY COURIER, FRIDAY JAN. 19, 1912. 7 A. Johnson 7.00 O. A. Marquam 27.60 B. Barnes 41.25. Pleasant JHill Precinct, ' ; E. D. Tong, farmer. District No. 45. COUNTY COURT Dover Precinct. C. W. Calkins, farmer. L. 
1912-01-19	8	200	yes	706320	bc4bdb274d1d0530e087da7a01b3f0dfc832ef1174ccd6cfba53e4ec89795a62	 OREGON CITY COURIER, FRIDAY, JAN. 19, 1912 THE LOCAL NEWS. MILL DISTRICT PUT A REALISTIC S. R. Taylor, a wnll known Wood bnr man, was transacting business bere Thursday. Percy Crocs lias accepted a position iu the Hardi
1912-02-23	1	200	yes	677081	67237b94fc5784f1d9d5c0cdc686fe50832c2eac30d0726b64558efb374707c5	 OREGON GITY The Courier is AGAINST injustice .With $12,000,000 in Factories and against the privileged classes, and FOR $ 00,000 monthly Pay Roil with plenty 1 the Weak Citizen and the Common of Power to sell, Ore Ron C
1912-02-23	2	200	yes	703521	41ec39ee83c2e3c7f91c06af5b8a5a3ecf9f4b58e78e43a41f1626fd4d19d3eb	 OREGON CITV COURIER, FRIDAY, "FEB. Z 1912 MOLALLA MOUNTAIN VIEW. CLACKAMAS. CARUS II STONE REGISTER Anything tho matter with the ground hog month now.' E. 'J'. Beverline, a lato arrival from Illinois, and brother-in-la-
1912-02-23	3	200	yes	733209	9787bfed70e6eb1c528d48e772a2d4170e5cf4b39d512c91de4cebf5127a7bb5	 OREGON CITY COURIER, FRIDAY, FEB. 22, 1912 A TAXATION TALK. SOUTH CAN BY. them over to the state treasurer, NEWS OF THE WEEK. Governor West is taking under con- ALEXANDER P. MOORE ARE YOU GOING SOUTH OR EAST? A Man Who 
1912-02-23	4	200	yes	682069	d0997c9c376da440b8f0e7ff12bb7777ca9e766ac852411e536ed4b65f0fba04	 OREGON CITY COURIER, FRIDAY, FEB. 23, 1912 7 PROTECT OUR LAMBS. . OUT FOR EQUAL RIGHTS eaicinc cOuft aecicied. OREGON CITY COURIER. Oregon needs a guardian, and ' I admire . Governor West for of whether a state still ma
1912-02-23	5	200	yes	720196	3716df0e8954303c72f2efe07a11673074820a3f01a57bf9f0582db9a7e6471f	 OREGON CITY COURIER, FRIDAY, FEB. 22, 1912 5 THE SOCIAL SIDE. See Holmes' big ad. on page C- -it Pulton and Gearln Drop Out. has bargains for you, Matters of Soolal Interest that Portland, Or. Formal announce- Mrs. G. F
1912-02-23	6	200	yes	488585	f12ff8cb4d6a820ab0fe1499584fb96baabc0131c1424af37c305fd2a42f2781	 OREGON CITY COURIER, FRIDaV FEB. 23 I9l2. if r lis An Extr&orainary Ol portuiuty. w OR CLOSING OUT -- IS YOUR CHANCE to obtainfirst class goods at Closing-O- at prices, WE ARE MAKING THIS SALE OURSELVES, THERE- BY GIVIN
1912-02-23	7	200	yes	717319	fe7508775e202088028e5d2e8211152425ee269caf31de517c062e3d0bef7af4	 OREGON CITY COURIER, FRIDAY, FEB. 23, 1912 Summons C. Shetterly- - 5.48 H. A. Heater t. 27.80 Notice Closing Streams COUNTY COURT R. Hutchins 8.22 R. DeNeul 31.30 In the Oirouit Court of the State of uregou, tor tlia (J
